Income,Kidhome,Teenhome,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Dependants,Age,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow
58138.0,0,0,635,88,546,172,88,88,0,57,False,False,True,False,False,False,False,True,False,False
46344.0,1,1,11,1,6,2,1,6,2,60,False,False,True,False,False,False,False,True,False,False
71613.0,0,0,426,49,127,111,21,42,0,49,False,False,True,False,False,False,False,False,True,False
26646.0,1,0,11,4,20,10,3,5,1,30,False,False,True,False,False,False,False,False,True,False
58293.0,1,0,173,43,118,46,27,15,1,33,False,False,False,False,True,False,True,False,False,False
62513.0,0,1,520,42,98,0,42,14,1,47,False,False,False,True,False,False,False,False,True,False
55635.0,0,1,235,65,164,50,49,27,1,43,False,False,True,False,False,True,False,False,False,False
33454.0,1,0,76,10,56,3,1,23,1,29,False,False,False,False,True,False,True,False,False,False
30351.0,1,0,14,0,24,3,3,2,1,40,False,False,False,False,True,False,False,False,True,False
5648.0,1,1,28,0,6,1,1,13,2,64,False,False,False,False,True,False,False,False,True,False
7500.0,0,0,6,16,11,11,1,16,0,38,False,True,False,False,False,False,True,False,False,False
63033.0,0,0,194,61,480,225,112,30,0,55,False,False,True,False,False,True,False,False,False,False
59354.0,1,1,233,2,53,3,5,14,2,62,False,False,False,True,False,True,False,False,False,False
17323.0,0,0,3,14,17,6,1,5,0,27,False,False,True,False,False,False,True,False,False,False
82800.0,0,0,1006,22,115,59,68,45,0,68,False,False,False,False,True,False,False,True,False,False
41850.0,1,1,53,5,19,2,13,4,2,34,False,False,True,False,False,False,True,False,False,False
37760.0,0,0,84,5,38,150,12,28,0,68,False,False,True,False,False,False,False,False,True,False
76995.0,0,1,1012,80,498,0,16,176,1,65,False,False,False,True,False,False,True,False,False,False
33812.0,1,0,4,17,19,30,24,39,1,29,True,False,False,False,False,False,False,True,False,False
37040.0,0,0,86,2,73,69,38,48,0,32,False,False,True,False,False,False,True,False,False,False
2447.0,1,0,1,1,1725,1,1,1,1,35,False,False,True,False,False,False,True,False,False,False
58607.0,0,1,867,0,86,0,0,19,1,65,False,False,False,False,True,False,True,False,False,False
65324.0,0,1,384,0,102,21,32,5,1,60,False,False,False,False,True,False,True,False,False,False
40689.0,0,1,270,3,27,39,6,99,1,63,False,False,True,False,False,False,False,False,True,False
18589.0,0,0,6,4,25,15,12,13,0,45,False,False,True,False,False,False,False,True,False,False
53359.0,1,1,173,4,30,3,6,41,2,38,False,False,True,False,False,False,True,False,False,False
38360.0,1,0,36,2,42,20,21,10,1,25,False,False,True,False,False,False,True,False,False,False
84618.0,0,0,684,100,801,21,66,0,0,49,False,False,False,False,True,False,True,False,False,False
10979.0,0,0,8,4,10,2,2,4,0,25,False,False,False,True,False,True,False,False,False,False
38620.0,0,0,112,17,44,34,22,89,0,51,False,False,False,True,False,False,False,False,True,False
40548.0,0,1,110,0,5,2,0,3,1,44,False,False,True,False,False,False,False,False,True,False
46610.0,0,2,96,12,96,33,22,43,2,62,False,False,False,False,True,True,False,False,False,False
68657.0,0,0,482,34,471,119,68,22,0,68,False,False,False,True,False,False,True,False,False,False
49389.0,1,1,40,0,19,2,1,3,2,63,False,False,False,True,False,False,False,True,False,False
67353.0,0,1,702,17,151,0,8,35,1,44,False,False,False,False,True,False,True,False,False,False
23718.0,1,0,6,3,14,15,7,36,1,38,True,False,False,False,False,False,True,False,False,False
42429.0,0,1,55,0,6,2,0,4,1,41,False,False,True,False,False,False,False,False,False,True
48948.0,0,0,437,8,206,160,49,42,0,71,False,False,False,False,True,True,False,False,False,False
80011.0,0,1,421,76,536,82,178,102,1,34,False,False,True,False,False,False,True,False,False,False
20559.0,1,0,13,1,29,3,0,7,1,29,False,False,False,True,False,False,True,False,False,False
21994.0,0,1,9,0,6,3,1,3,1,57,False,False,True,False,False,False,False,False,True,False
7500.0,1,0,3,1,10,3,2,12,1,39,False,False,False,True,False,False,True,False,False,False
79941.0,0,0,123,164,266,227,30,174,0,38,False,False,True,False,False,False,False,True,False,False
7500.0,0,0,3,18,14,15,22,50,0,18,True,False,False,False,False,False,True,False,False,False
41728.0,1,0,13,6,15,3,5,13,1,46,False,False,True,False,False,False,False,False,True,False
72550.0,1,1,826,50,317,50,38,38,2,60,False,False,False,False,True,False,True,False,False,False
65486.0,0,1,245,19,125,37,67,14,1,57,False,False,True,False,False,False,False,False,False,True
79143.0,0,0,650,37,780,27,167,32,0,50,False,False,False,True,False,False,True,False,False,False
35790.0,1,0,12,6,20,30,1,3,1,37,False,False,True,False,False,False,False,True,False,False
82582.0,0,0,510,120,550,156,40,241,0,37,False,False,True,False,False,True,False,False,False,False
