Education,Marital_Status,Income,Kidhome,Teenhome,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Dependants,Age
Graduation,Single,58138.0,0,0,635,88,546,172,88,88,0,57
Graduation,Single,46344.0,1,1,11,1,6,2,1,6,2,60
Graduation,Together,71613.0,0,0,426,49,127,111,21,42,0,49
Graduation,Together,26646.0,1,0,11,4,20,10,3,5,1,30
PhD,Married,58293.0,1,0,173,43,118,46,27,15,1,33
Master,Together,62513.0,0,1,520,42,98,0,42,14,1,47
Graduation,Divorced,55635.0,0,1,235,65,164,50,49,27,1,43
PhD,Married,33454.0,1,0,76,10,56,3,1,23,1,29
PhD,Together,30351.0,1,0,14,0,24,3,3,2,1,40
PhD,Together,5648.0,1,1,28,0,6,1,1,13,2,64
Basic,Married,7500.0,0,0,6,16,11,11,1,16,0,38
Graduation,Divorced,63033.0,0,0,194,61,480,225,112,30,0,55
Master,Divorced,59354.0,1,1,233,2,53,3,5,14,2,62
Graduation,Married,17323.0,0,0,3,14,17,6,1,5,0,27
PhD,Single,82800.0,0,0,1006,22,115,59,68,45,0,68
Graduation,Married,41850.0,1,1,53,5,19,2,13,4,2,34
Graduation,Together,37760.0,0,0,84,5,38,150,12,28,0,68
Master,Married,76995.0,0,1,1012,80,498,0,16,176,1,65
2n Cycle,Single,33812.0,1,0,4,17,19,30,24,39,1,29
Graduation,Married,37040.0,0,0,86,2,73,69,38,48,0,32
Graduation,Married,2447.0,1,0,1,1,1725,1,1,1,1,35
PhD,Married,58607.0,0,1,867,0,86,0,0,19,1,65
PhD,Married,65324.0,0,1,384,0,102,21,32,5,1,60
Graduation,Together,40689.0,0,1,270,3,27,39,6,99,1,63
Graduation,Single,18589.0,0,0,6,4,25,15,12,13,0,45
Graduation,Married,53359.0,1,1,173,4,30,3,6,41,2,38
Graduation,Married,38360.0,1,0,36,2,42,20,21,10,1,25
PhD,Married,84618.0,0,0,684,100,801,21,66,0,0,49
Master,Divorced,10979.0,0,0,8,4,10,2,2,4,0,25
Master,Together,38620.0,0,0,112,17,44,34,22,89,0,51
Graduation,Together,40548.0,0,1,110,0,5,2,0,3,1,44
